pos index,depth index,current joint depth,current joint position,current joint effort,current torque offset
3,1,0.106237447,-0.0087965789,0.05491132,-0.0666337728
2,1,0.106237447,-0.0067122133,0.1206400741,-0.0853493569
1,1,0.1062400395,-0.0046656891,0.1916082477,-0.0853493569
0,1,0.1062413358,-0.0024029283,0.2401082799,-0.1486708101
0,1,0.1062413358,-0.0023994531,0.2388338265,-0.1497092537
1,1,0.1062439284,-0.0001722169,0.2917944455,-0.1497092537
2,1,0.1062439284,0.0019901483,0.3489088386,-0.0671293935
3,1,0.106246521,0.0041853351,0.4046307734,-0.0265356926
4,1,0.1062515765,0.0065797684,0.4404806755,-0.0265356926
5,1,0.1062530024,0.0089112615,0.4811687804,-0.0263468847
6,1,0.1062568913,0.0111280719,0.5340113945,-0.0085989411
7,1,0.1062568913,0.0133305954,0.5889308957,-0.0182045436
8,1,0.1062581876,0.0156153659,0.6340323854,-0.0061444382
9,1,0.106264669,0.0178460773,0.6842788908,-0.0061444382
10,1,0.1062711505,0.0199628783,0.7479307578,0.014624432
11,1,0.1062724468,0.0221715799,0.8026378501,0.0123115351
12,1,0.1062776319,0.0242412724,0.8701602793,0.0200998614
13,1,0.1062804838,0.0263785387,0.9319476682,0.0066944997
14,1,0.1062897523,0.0284872309,0.9923898008,0.0066944997
14,1,0.1062939652,0.0293988995,0.9108011822,0.0202886693
13,1,0.1062931874,0.0275060577,0.8180492958,-0.1254238361
12,1,0.1062931874,0.0256302059,0.7309616468,-0.1431717797
11,1,0.1062931874,0.0236794435,0.6514263143,-0.1386875918
10,1,0.1062918911,0.0217101467,0.5746994994,-0.1386875918
9,1,0.1062905948,0.0195134153,0.5198744022,-0.1514321258
8,1,0.1062892986,0.0174317526,0.4539804412,-0.1608489204
7,1,0.1062880023,0.0152593479,0.3976920827,-0.1608489204
6,1,0.1062880023,0.013083854,0.3388548174,-0.1739474692
5,1,0.1062854097,0.0108515981,0.2878766814,-0.1789036769
4,1,0.1062828171,0.008627451,0.237582974,-0.1818538005
3,1,0.1062815208,0.0063689378,0.1871240598,-0.1467119281
2,1,0.1062802245,0.0040482566,0.1446894818,-0.1467119281
1,1,0.1062802245,0.0018808716,0.0863478372,-0.0955213832
0,1,0.1062789282,-0.0001532962,0.0158516834,-0.1737114594
-1,1,0.1062815208,-0.0022299391,-0.0522843715,-0.2081217012
-2,1,0.1062815208,-0.0044386407,-0.106472242,-0.2173968898
-3,1,0.1062815208,-0.0064840065,-0.1760007553,-0.2173968898
-4,1,0.1062815208,-0.0085710751,-0.242437539,-0.2173024858
-5,1,0.1062854097,-0.0107098859,-0.3025256567,-0.2357348582
-6,1,0.1062880023,-0.0128479245,-0.3643602476,-0.2321947098
-7,1,0.1062854097,-0.0148577658,-0.4389157715,-0.2321947098
-8,1,0.1062880023,-0.0169039039,-0.5086330927,-0.2342479959
-9,1,0.1062880023,-0.019049279,-0.5693112351,-0.2498010475
0,1,0.1062413358,-0.0011958652,0.1195780296,-0.0982354969
