pos index,depth index,depth,current joint position,current joint effort,current torque offset
16,2,0.1165338784,-0.0330189305,-0.3318969885,0.062215925
17,2,0.1165351747,-0.0349604256,-0.3643011463,0.0602570429
18,2,0.116536471,-0.0369405343,-0.3929291458,0.0602570429
19,2,0.1165377673,-0.0388480493,-0.4299826984,0.0618855111
20,2,0.1165390636,-0.0407644455,-0.4659506054,0.0585105697
21,2,0.1165403599,-0.0427082573,-0.4979299454,0.0585105697
22,2,0.1165416562,-0.0447007224,-0.5250238806,0.0556312491
23,2,0.1165429525,-0.0466217522,-0.5600241472,0.0622631269
24,2,0.1165442487,-0.0485601582,-0.5934667484,0.0622631269
25,2,0.1165481376,-0.0504746237,-0.6290570397,0.0614370923
26,2,0.1165481376,-0.0524180494,-0.660186744,0.0568821015
27,2,0.1165507302,-0.0543788513,-0.6912928474,0.0582037568
28,2,0.1165546191,-0.0563153265,-0.723885813,0.0582037568
29,2,0.1165546191,-0.0582093268,-0.760160533,0.0628531517
30,2,0.1165576005,-0.0601473466,-0.7923050798,0.0632779695
31,2,0.1165623968,-0.0621232078,-0.8221131288,0.0632779695
32,2,0.1165636931,-0.0640813067,-0.8528888183,0.0591713974
33,2,0.1165679708,-0.0660513759,-0.8820596406,0.0545220026
34,2,0.1165701745,-0.067998663,-0.915053823,0.0545220026
35,2,0.116576656,-0.0699258709,-0.9474343798,0.06209792
36,2,0.1165805449,-0.071867366,-0.9792721138,0.0590297915
36,2,0.1165840448,-0.0725014024,-0.919372804,0.0590297915
35,2,0.1165831374,-0.0707170649,-0.868489072,0.1489731601
34,2,0.1165818412,-0.0689365889,-0.8189033943,0.1489731601
33,2,0.1165792486,-0.0671310139,-0.7742975253,0.1484303374
32,2,0.1165779523,-0.0653115381,-0.728157592,0.1458814306
31,2,0.1165740634,-0.0634013201,-0.6929921186,0.1458814306
30,2,0.1165727671,-0.0615038446,-0.6573310244,0.1510028452
29,2,0.1165714708,-0.0596210423,-0.6191210233,0.1550858162
28,2,0.1165727671,-0.0577567746,-0.5787397313,0.1550858162
27,2,0.1165714708,-0.0558457844,-0.5435270559,0.1527729193
26,2,0.1165701745,-0.0539699326,-0.505104646,0.1526077124
25,2,0.1165688783,-0.0520485166,-0.4699863745,0.1526077124
24,2,0.1165662857,-0.0501332789,-0.4353873248,0.1528201213
23,2,0.116567582,-0.0482199718,-0.3989946,0.1551802202
22,2,0.1165662857,-0.046315932,-0.3632627028,0.1551802202
21,2,0.1165638875,-0.0443964467,-0.328781658,0.1543777866
20,2,0.1165651838,-0.0424136351,-0.2994456288,0.1502712145
19,2,0.1165662857,-0.040463645,-0.2679619096,0.1502712145
18,2,0.1165636931,-0.0385341202,-0.2342596975,0.1504128204
17,2,0.1165649894,-0.036620427,-0.1983153914,0.1554398311
16,2,0.1165623968,-0.0346793181,-0.1658404307,0.1538113628
15,2,0.1165623968,-0.0327185162,-0.1358199728,0.1538113628
14,2,0.1165636931,-0.0308152487,-0.0981527946,0.1561242598
13,2,0.1165636931,-0.0289173871,-0.061193646,0.1479819186
12,2,0.1165623968,-0.0269631496,-0.0278690496,0.1479819186
11,2,0.1165623968,-0.0250224268,0.0034730636,0.147155884
10,2,0.1165623968,-0.0230295756,0.0321482651,0.151333259
9,2,0.1165630449,-0.0210533282,0.0635139793,0.151333259
8,2,0.1165623968,-0.0190875066,0.093912053,0.1856254959
7,2,0.1165623968,-0.0171741995,0.127991881,0.1547554024
6,2,0.1165623968,-0.0152056749,0.1584607577,0.1517816778
5,2,0.1165649894,-0.0132684274,0.1932958173,0.1510264462
4,2,0.1165636931,-0.0113072393,0.223646689,0.1582011468
3,2,0.1165649894,-0.0093614968,0.2564756645,0.1477931107
2,2,0.1165662857,-0.007395289,0.2863073145,0.14491379
1,2,0.1165688783,-0.0053835171,0.3135192547,0.14491379
0,2,0.116567582,-0.0034261904,0.344766964,0.1219736288
0,2,0.116567582,-0.0034130618,0.3437993234,0.1226580575
1,2,0.1165701745,-0.0013943394,0.3693827954,0.1219736288
2,2,0.1165688783,0.0005317102,0.4043830619,0.147179485
3,2,0.1165701745,0.0025276505,0.4316658051,0.147179485
4,2,0.1165740634,0.0044938583,0.4613086471,0.1595700041
5,2,0.1165727671,0.006513739,0.4884733853,0.1595700041
6,2,0.1165740634,0.0084660459,0.5201931144,0.1588619745
7,2,0.1165792486,0.0104326398,0.5501191683,0.1632753594
8,2,0.1165805449,0.0123961447,0.580588045,0.1729281638
9,2,0.1165805449,0.0143430456,0.6143846611,0.1729281638
10,2,0.1165844337,0.0162254618,0.652641864,0.1761614993
11,2,0.1165844337,0.0182047982,0.6799010062,0.1757838835
12,2,0.1165883226,0.0202733322,0.701566714,0.1757838835
13,2,0.1165922115,0.0222611636,0.7306903343,0.1774831547
14,2,0.1165948041,0.0241899162,0.7635665118,0.1819201406
15,2,0.1165986929,0.0261205994,0.7984251724,0.1794656378
16,2,0.1166012855,0.0281034111,0.8271711769,0.1794656378
17,2,0.1166012855,0.0300750248,0.8579232654,0.1866875404
18,2,0.1166051744,0.0319883318,0.8918614874,0.1866875404
19,2,0.1166090632,0.0339305992,0.9258469114,0.1885992205
20,2,0.1166129521,0.0358539458,0.9588410939,0.1866403384
21,2,0.1166181373,0.0378201536,0.9908440349,0.1866403384
21,2,0.1166233872,0.0384159624,0.9357829278,0.1847758603
20,2,0.1166207299,0.0365806549,0.8862444521,0.0964373588
19,2,0.1166194336,0.0348109907,0.8376972179,0.0990098666
18,2,0.1166155447,0.0329625546,0.7968203052,0.0990098666
17,2,0.1166155447,0.0311442371,0.7495003225,0.1029748328
16,2,0.1166142484,0.0293000485,0.7082693949,0.1029748328
15,2,0.1166129521,0.0273878999,0.671853069,0.098254635
14,2,0.1166116558,0.0254989194,0.6327698314,0.0953045114
13,2,0.116607767,0.0236323349,0.5934033819,0.0983726399
12,2,0.116607767,0.021742196,0.555098977,0.0983726399
11,2,0.1166051744,0.019834681,0.5182578333,0.0934164323
10,2,0.1166038781,0.0178294734,0.4907390803,0.0962249499
9,2,0.1166038781,0.0158678992,0.4597273808,0.0962249499
8,2,0.1166012855,0.0140136711,0.419086478,0.1010395517
7,2,0.1166012855,0.0120841463,0.3834017828,0.0887906384
6,2,0.1165999892,0.010153463,0.3506908122,0.0887906384
5,2,0.1165961003,0.0081331961,0.3262401877,0.0814979329
4,2,0.1165973966,0.0061673745,0.2945676606,0.0959653391
3,2,0.1165948041,0.0042270378,0.2615734781,0.0959653391
2,2,0.1165924059,0.0022056125,0.2368632428,0.1142089035
1,2,0.1165922115,0.000228979,0.2070079918,0.0907967225
0,2,0.1165909152,-0.0016970705,0.1730933708,0.0815687358
-1,2,0.1165896189,-0.0036161697,0.136393833,0.0815687358
-2,2,0.1165870263,-0.0055487836,0.102479212,0.0735207986
-3,2,0.1165870263,-0.0075636446,0.0756212866,0.0635375803
-4,2,0.11658573,-0.0095244465,0.0456008288,0.0635375803
-5,2,0.1165818412,-0.011467486,0.0113321929,0.070617877
-6,2,0.1165818412,-0.0134375552,-0.018546659,0.0671485316
-7,2,0.1165805449,-0.0153477732,-0.054774177,0.0610358755
-8,2,0.1165792486,-0.0172884959,-0.088806803,0.0610358755
-9,2,0.1165779523,-0.0191655062,-0.1266155872,0.066322497
0,3,0.1264414229,-0.0019889899,0.2005177199,0.1297147532
1,3,0.1264395433,-0.0035485958,0.1486427463,0.1297147532
2,3,0.126440321,-0.0052622702,0.1111643759,0.1010631527
3,3,0.1264388303,-0.0069801921,0.0751728679,0.1010631527
4,3,0.1264388303,-0.0087100843,0.0398185865,0.0848728743
5,3,0.1264369507,-0.0104384319,0.002694231,0.0865013425
6,3,0.1264401266,-0.0122007595,-0.0290490991,0.0865013425
7,3,0.1264414229,-0.0139839386,-0.0576770986,0.079090632
8,3,0.1264405155,-0.0156752171,-0.0975627698,0.0683285811
9,3,0.1264376636,-0.0173842578,-0.1361031847,0.0683285811
10,3,0.126437534,-0.019071675,-0.1755876391,0.0709482908
11,3,0.1264401266,-0.0208988736,-0.2018083378,0.0709482908
12,3,0.1264388303,-0.0226457557,-0.2343068995,0.0679509653
13,3,0.1264388303,-0.0244173507,-0.2645633672,0.0637499892
14,3,0.1264401266,-0.0261943515,-0.2954098597,0.0605638557
15,3,0.1264414229,-0.0280018571,-0.322314987,0.0605638557
16,3,0.1264507562,-0.0297653432,-0.3551439626,0.0672901376
17,3,0.1264556821,-0.0315635815,-0.3821198929,0.0672901376
18,3,0.1264543858,-0.0332645134,-0.4206839087,0.0641276051
19,3,0.1264582747,-0.0350415143,-0.4521676279,0.0572833183
20,3,0.1264582747,-0.0368428417,-0.4800167948,0.0572833183
21,3,0.1264621635,-0.0385966744,-0.5117129229,0.0593838063
22,3,0.1264638487,-0.0403605465,-0.5441878836,0.0565752886
23,3,0.1264647561,-0.0421105178,-0.5767336473,0.0565752886
24,3,0.1264673487,-0.043928063,-0.602741937,0.0552536332
25,3,0.126477719,-0.0457529448,-0.6279949952,0.0552536332
26,3,0.1264796634,-0.047539599,-0.6570950145,0.0660392852
27,3,0.1264845245,-0.0492582932,-0.6926853057,0.0603514468
28,3,0.126488543,-0.0509893438,-0.7279923851,0.0603514468
29,3,0.1264919782,-0.0527922158,-0.7561719658,0.0592422004
30,3,0.1265036448,-0.0545885235,-0.7828882853,0.057873343
31,3,0.12650883,-0.0563539402,-0.8156464578,0.057873343
32,3,0.126515441,-0.0580718621,-0.8510951431,0.0639623981
33,3,0.126521404,-0.0598125661,-0.8849153602,0.0639623981
34,3,0.1265265243,-0.0615857056,-0.9153606359,0.0618855111
35,3,0.1265317743,-0.0633684985,-0.9445314582,0.0562448748
36,3,0.1265378669,-0.0651949248,-0.9697373143,0.0562448748
