position index,depth index,current depth,current joint position,current torque offset
0,0,0.15989737150000002,0.0,0.14097242488659692
1,0,0.090026044210000031,-0.0027925268031909274,0.092047574915427338
2,0,0.090020859050000013,-0.0055850536063818549,0.10481570990549145
3,0,0.090020859050000013,-0.0083775804095727845,0.098608649827142111
4,0,0.090018266470000011,-0.01117010721276371,0.095398915337957954
5,0,0.090016970180000003,-0.013962634015954637,0.092779205571050141
6,0,0.090018266470000011,-0.016755160819145569,0.087067766259413176
7,0,0.090018266470000011,-0.019547687622336492,0.086359736592681396
8,0,0.090015673889999995,-0.022340214425527419,0.082748785292348942
9,0,0.090016970180000003,-0.025132741228718343,0.079208636958689821
10,0,0.090015673889999995,-0.027925268031909273,0.075267271813882736
11,0,0.090014377599999987,-0.030717794835100187,0.076470922247326767
12,0,0.090014377599999987,-0.033510321638291138,0.077462163780751256
13,0,0.090014377599999987,-0.036302848441482051,0.075503281702793065
14,0,0.090016970180000003,-0.039095375244672985,0.071609118535768262
15,0,0.090014377599999987,-0.041887902047863933,0.073426394680379981
16,0,0.090014377599999987,-0.044680428851054839,0.072765566991430455
17,0,0.090015673889999995,-0.04747295565424578,0.067903763279871604
18,0,0.090014377599999987,-0.050265482457436686,0.072081138313589588
19,0,0.090015673889999995,-0.053058009260627634,0.066841718779774073
20,0,0.090015673889999995,-0.055850536063818547,0.061507895290394098
21,0,0.090013081309999979,-0.058643062867009467,0.067974566246544812
22,0,0.090015673889999995,-0.061435589670200373,0.067030526690902356
23,0,0.090015673889999995,-0.064228116473391328,0.066888920757555773
24,0,0.090015673889999995,-0.067020643276582276,0.062522737812709742
25,0,0.090013081309999979,-0.069813170079773196,0.062428333857145538
26,0,0.090014377599999987,-0.072605696882964102,0.066298896035279539
27,0,0.090011785019999985,-0.075398223686155036,0.063183565501659586
28,0,0.090015673889999995,-0.078190750489345998,0.06285315165718483
29,0,0.090013081309999979,-0.080983277292536945,0.060493052768078481
30,0,0.090013081309999979,-0.083775804095727879,0.058911786512377419
31,0,0.090013081309999979,-0.086568330898918758,0.060611057712534132
32,0,0.090013081309999979,-0.089360857702109719,0.065590866368547537
33,0,0.090014377599999987,-0.092153384505300653,0.063348772423897054
34,0,0.090014377599999987,-0.094945911308491601,0.061177481445919349
35,0,0.090014377599999987,-0.097738438111682563,0.066062886146368988
36,0,0.090014377599999987,-0.10053096491487352,0.064458018901776909
36,0,0.090014377599999987,-0.10332349171806436,0.064245610001757159
35,0,0.090014377599999987,-0.10332349171806436,0.064009600112846593
34,0,0.090013081309999979,-0.10053096491487352,0.1016295764051981
33,0,0.090011785019999985,-0.097738438111682563,0.11675781028436834
32,0,0.090013081309999979,-0.094945911308491601,0.12138360410701618
31,0,0.090011785019999985,-0.092153384505300653,0.12954954626332321
30,0,0.090013081309999979,-0.089360857702109719,0.13356171437480366
29,0,0.090013081309999979,-0.086568330898918758,0.13832911413079796
28,0,0.090013081309999979,-0.083775804095727879,0.13238166493025055
27,0,0.090013081309999979,-0.080983277292536945,0.135190182608287
26,0,0.090013081309999979,-0.078190750489345998,0.14503179497585958
25,0,0.090013081309999979,-0.075398223686155036,0.14307291289790125
24,0,0.090011785019999985,-0.072605696882964102,0.14684907112047124
23,0,0.090012951680999972,-0.069813170079773196,0.1477931106761135
22,0,0.090011785019999985,-0.067020643276582276,0.14736829287607467
21,0,0.090012627608499984,-0.064228116473391328,0.14911476605401286
20,0,0.090011785019999985,-0.061435589670200373,0.15168727384313885
19,0,0.090011785019999985,-0.058643062867009467,0.15192328373204908
18,0,0.090011785019999985,-0.055850536063818547,0.1478639136427867
17,0,0.090013081309999979,-0.053058009260627634,0.14533860783144306
16,0,0.090010488729999977,-0.050265482457436686,0.1522536975765244
15,0,0.090010488729999977,-0.04747295565424578,0.15057802736525877
