position index,depth index,current depth,current joint position,current torque offset
0,0,0.15989620483900002,0.0,-0.25950105397573381
1,0,0.090039007110000055,0.0027925268031909274,-0.13106447243057923
2,0,0.090035118240000045,0.0055850536063818549,-0.15107811101019902
3,0,0.090031229370000021,0.0083775804095727845,-0.13748394140894787
4,0,0.090032525660000029,0.01117010721276371,-0.11192407043992843
5,0,0.090029933080000041,0.013962634015954637,-0.11267930208444232
6,0,0.090028636790000033,0.016755160819145569,-0.095828196016224568
7,0,0.090028636790000033,0.019547687622336492,-0.084169307504040614
8,0,0.090026044210000031,0.022340214425527419,-0.08334327289285362
9,0,0.090026044210000031,0.025132741228718343,-0.076286577214426554
10,0,0.090024747920000023,0.027925268031909273,-0.07267562591409403
11,0,0.090024747920000023,0.030717794835100187,-0.075672951503258964
12,0,0.090024747920000023,0.033510321638291138,-0.067341802424714284
13,0,0.090023451630000015,0.036302848441482051,-0.070645940869462659
14,0,0.090020859050000013,0.039095375244672985,-0.066539368802418203
15,0,0.090020859050000013,0.041887902047863933,-0.062173185857571714
16,0,0.090022155340000007,0.044680428851054839,-0.072298010091837214
17,0,0.090019562760000005,0.04747295565424578,-0.061323550257493697
18,0,0.090018266470000011,0.050265482457436686,-0.068333043958138773
19,0,0.090018266470000011,0.053058009260627634,-0.071283167569521702
20,0,0.090018266470000011,0.055850536063818547,-0.055517706990292834
21,0,0.090017164623499998,0.058643062867009467,-0.054856879301342878
22,0,0.090018266470000011,0.061435589670200373,-0.0538184357901361
23,0,0.090017747953999999,0.064228116473391328,-0.047469769778440633
24,0,0.090017034994500006,0.067020643276582276,-0.056579751490390406
25,0,0.090016970180000003,0.069813170079773196,-0.04503886792266143
26,0,0.090016970180000003,0.072605696882964102,-0.042017941344605569
27,0,0.090016970180000003,0.075398223686155036,-0.046903346045055194
28,0,0.090016970180000003,0.078190750489345998,-0.034206014021664378
29,0,0.090016970180000003,0.080983277292536945,-0.034347619955010622
30,0,0.090018266470000011,0.083775804095727879,-0.030689466676896142
31,0,0.090018266470000011,0.086568330898918758,-0.028494574710027504
32,0,0.090018266470000011,0.089360857702109719,-0.030665865688005018
33,0,0.090018266470000011,0.092153384505300653,-0.022570726498370879
